Code,Occupation,Job Family,Cluster
47-2152.00,plumbers pipefitters steamfitters,Construction and Extraction,0
29-1081.00,podiatrists,Healthcare Practitioners and Technical,0
27-3043.05,poets lyricists creative writers,"Arts, Design, Entertainment, Sports, and Media",0
33-3051.00,police sheriffs patrol officers,Protective Service,0
33-3021.02,police identification records officers,Protective Service,0
25-1065.00,political science teachers postsecondary,Educational Instruction and Library,2
19-3094.00,political scientists,"Life, Physical, and Social Science",0
43-5051.00,postal service clerks,Office and Administrative Support,0
43-5052.00,postal service mail carriers,Office and Administrative Support,0
43-5053.00,postal service mail sorters processors processing machine operators,Office and Administrative Support,0
11-9131.00,postmasters mail superintendents,Management,0
25-1199.00,postsecondary teachers,Educational Instruction and Library,2
51-9195.05,potters manufacturing,Production,0
51-4052.00,pourers casters metal,Production,0
51-8012.00,power distributors dispatchers,Production,0
51-8013.00,power plant operators,Production,0
19-4012.01,precision agriculture technicians,"Life, Physical, and Social Science",1
49-9069.00,precision instrument equipment repairers,"Installation, Maintenance, and Repair",5
51-5111.00,prepress technicians workers,Production,1
25-2011.00,preschool teachers except special education,Educational Instruction and Library,6
51-6021.00,pressers textile garment related materials,Production,0
29-1229.05,preventive medicine physicians,Healthcare Practitioners and Technical,0
51-5113.00,print binding finishing workers,Production,0
51-5112.00,printing press operators,Production,0
33-9021.00,private detectives investigators,Protective Service,0
21-1092.00,probation officers correctional treatment specialists,Community and Social Service,4
43-3061.00,procurement clerks,Office and Administrative Support,0
27-2012.00,producers directors,"Arts, Design, Entertainment, Sports, and Media",0
51-9199.00,production workers,Production,0
43-5061.00,production planning expediting clerks,Office and Administrative Support,0
13-1082.00,project management specialists,Business and Financial Operations,4
43-9081.00,proofreaders copy markers,Office and Administrative Support,0
11-9141.00,property real estate community association managers,Management,7
29-1024.00,prosthodontists,Healthcare Practitioners and Technical,0
33-9099.00,protective service workers,Protective Service,0
31-1133.00,psychiatric aides,Healthcare Support,0
29-2053.00,psychiatric technicians,Healthcare Practitioners and Technical,1
29-1223.00,psychiatrists,Healthcare Practitioners and Technical,0
19-3039.00,psychologists,"Life, Physical, and Social Science",0
25-1066.00,psychology teachers postsecondary,Educational Instruction and Library,2
11-2032.00,public relations managers,Management,7
27-3031.00,public relations specialists,"Arts, Design, Entertainment, Sports, and Media",4
43-5031.00,public safety telecommunicators,Office and Administrative Support,0
53-7072.00,pump operators except wellhead pumpers,Transportation and Material Moving,0
13-1023.00,purchasing agents except wholesale retail farm products,Business and Financial Operations,3
11-3061.00,purchasing managers,Management,7
19-4099.01,quality control analysts,"Life, Physical, and Social Science",0
11-3051.01,quality control systems managers,Management,7
29-1124.00,radiation therapists,Healthcare Practitioners and Technical,0
17-2072.01,radio frequency identification device specialists,Architecture and Engineering,4
49-2021.00,radio cellular tower equipment installers repairers,"Installation, Maintenance, and Repair",5
29-2034.00,radiologic technologists technicians,Healthcare Practitioners and Technical,1
29-1224.00,radiologists,Healthcare Practitioners and Technical,0
49-3043.00,rail car repairers,"Installation, Maintenance, and Repair",0
53-4099.00,rail transportation workers,Transportation and Material Moving,0
53-4013.00,rail yard engineers dinkey operators hostlers,Transportation and Material Moving,9
47-4061.00,railtrack laying maintenance equipment operators,Construction and Extraction,5
53-4022.00,railroad brake signal switch operators locomotive firers,Transportation and Material Moving,0
53-4031.00,railroad conductors yardmasters,Transportation and Material Moving,0
19-1031.02,range managers,"Life, Physical, and Social Science",7
41-9021.00,real estate brokers,Sales and Related,0
41-9022.00,real estate sales agents,Sales and Related,3
43-4171.00,receptionists information clerks,Office and Administrative Support,0
25-1193.00,recreation fitness studies teachers postsecondary,Educational Instruction and Library,2
39-9032.00,recreation workers,Personal Care and Service,0
29-1125.00,recreational therapists,Healthcare Practitioners and Technical,0
49-3092.00,recreational vehicle service technicians,"Installation, Maintenance, and Repair",1
53-7062.04,recycling reclamation workers,Transportation and Material Moving,0
53-1042.01,recycling coordinators,Transportation and Material Moving,0
49-9045.00,refractory materials repairers except brickmasons,"Installation, Maintenance, and Repair",0
53-7081.00,refuse recyclable material collectors,Transportation and Material Moving,0
29-1141.00,registered nurses,Healthcare Practitioners and Technical,0
11-9199.01,regulatory affairs managers,Management,7
13-1041.07,regulatory affairs specialists,Business and Financial Operations,4
21-1015.00,rehabilitation counselors,Community and Social Service,0
47-2171.00,reinforcing iron rebar workers,Construction and Extraction,0
21-2099.00,religious workers,Community and Social Service,0
19-2099.01,remote sensing scientists technologists,"Life, Physical, and Social Science",0
19-4099.03,remote sensing technicians,"Life, Physical, and Social Science",1
43-4181.00,reservation transportation ticket agents travel clerks,Office and Administrative Support,0
39-9041.00,residential advisors,Personal Care and Service,0
29-1126.00,respiratory therapists,Healthcare Practitioners and Technical,0
33-9099.02,retail loss prevention specialists,Protective Service,4
41-2031.00,retail salespersons,Sales and Related,0
49-9096.00,riggers,"Installation, Maintenance, and Repair",0
17-2199.08,robotics engineers,Architecture and Engineering,9
17-3024.01,robotics technicians,Architecture and Engineering,1
47-5051.00,rock splitters quarry,Construction and Extraction,0
